timestamp,rr,sr,mrt
1648569600,100.0,100.0,2.6375000000082176
1648569660,100.0,100.0,2.6375000000082176
1648569720,100.0,100.0,2.752631578937565
1648569780,100.0,100.0,2.7697674418572165
1648569840,100.0,100.0,2.8863013698655653
1648569900,100.0,100.0,2.8558441558368988
1648569960,100.0,100.0,2.7311594202993037
1648570020,100.0,100.0,2.77619047618715
1648570080,100.0,100.0,2.602027027018217
1648570140,100.0,100.0,2.763750000006985
1648570200,100.0,100.0,2.644594594597112
1648570260,100.0,100.0,2.601764705881257
1648570320,100.0,100.0,2.897183098594173
1648570380,100.0,100.0,2.629545454544396
1648570440,100.0,100.0,2.51089743589863
1648570500,100.0,100.0,2.6207792207707543
1648570560,100.0,100.0,2.7159722222261027
1648570620,100.0,100.0,2.896103896103896
1648570680,100.0,100.0,2.6611111111124046
1648570740,100.0,100.0,2.5146666666617
1648570800,100.0,100.0,2.815882352942272
1648570860,100.0,100.0,2.527536231889457
1648570920,100.0,100.0,2.717948717948718
1648570980,100.0,100.0,2.729999999993791
1648571040,100.0,100.0,2.6612500000046566
1648571100,100.0,100.0,2.669841269836835
1648571160,100.0,100.0,2.6618055555607296
1648571220,100.0,100.0,2.5420289855058966
1648571280,100.0,100.0,2.6469512195042446
1648571340,100.0,100.0,2.7766666666790845
1648571400,100.0,100.0,2.6847058823496543
1648571460,100.0,100.0,2.735616438345958
1648571520,100.0,100.0,2.5560240963900305
1648571580,100.0,100.0,2.5868750000023284
1648571640,100.0,100.0,2.6729729729767486
1648571700,100.0,100.0,2.5993749999965075
1648571760,100.0,100.0,2.633928571428572
1648571820,100.0,100.0,2.739864864864865
1648571880,100.0,100.0,2.6097560975552967
1648571940,100.0,100.0,2.6397435897423955
1648572000,100.0,100.0,2.653205128219456
1648572060,100.0,100.0,2.575657894736842
1648572120,100.0,100.0,2.5679012345621524
1648572180,100.0,100.0,2.6512500000069847
1648572240,100.0,100.0,2.612820512830065
1648572300,100.0,100.0,2.667901234563302
1648572360,100.0,100.0,2.647222222217048
1648572420,100.0,100.0,2.55733333333085
1648572480,100.0,100.0,2.58918918919674
1648572540,100.0,100.0,2.7685897435921314
1648572600,100.0,100.0,2.760869565217391
1648572660,100.0,100.0,2.675
1648572720,100.0,100.0,2.585820895508488
1648572780,100.0,100.0,2.575000000015901
1648572840,100.0,100.0,2.60384615383899
1648572900,100.0,100.0,2.543373493971415
1648572960,100.0,100.0,2.6227272727236444
1648573020,100.0,100.0,2.6935714285687675
1648573080,100.0,100.0,2.4356249999895225
1648573140,100.0,100.0,2.543670886072413
1648573200,100.0,100.0,2.622560975618842
1648573260,100.0,100.0,2.622560975618842
1648573320,100.0,100.0,2.735526315788248
1648573380,100.0,100.0,2.5545454545357784
1648573440,100.0,100.0,2.8493670886087736
1648573500,100.0,100.0,2.8017647058812574
1648573560,100.0,100.0,2.767164179116988
1648573620,100.0,100.0,2.731818181817124
1648573680,100.0,100.0,2.732575757584224
1648573740,100.0,100.0,2.622471910116545
1648573800,100.0,100.0,2.5130434782527717
1648573860,100.0,100.0,2.7734939759002484
1648573920,100.0,100.0,2.7991935483765817
1648573980,100.0,100.0,2.720731707323888
1648574040,100.0,100.0,2.721641791039216
1648574100,100.0,100.0,2.6483695652214405
1648574160,100.0,100.0,2.54932432431048
1648574220,100.0,100.0,2.5689873417862987
1648574280,100.0,100.0,2.596511627899396
1648574340,100.0,100.0,2.6422535211280724
1648574400,100.0,100.0,2.6118750000023283
1648574460,100.0,100.0,2.754938271609537
1648574520,100.0,100.0,2.5238095237984366
1648574580,100.0,100.0,2.857638888895357
1648574640,100.0,100.0,2.580864197522816
1648574700,100.0,100.0,2.706578947376999
1648574760,100.0,100.0,2.6422535211477483
1648574820,100.0,100.0,2.569135802458788
1648574880,100.0,100.0,2.4562500000029104
1648574940,100.0,100.0,2.584523809513831
1648575000,100.0,100.0,2.425324675324675
1648575060,100.0,100.0,2.789880952382061
1648575120,100.0,100.0,2.608088235302336
1648575180,100.0,100.0,2.7387499999953437
1648575240,100.0,100.0,2.871917808224281
1648575300,100.0,100.0,2.65493827159689
1648575360,100.0,100.0,2.862318840586459
