timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.iowaiting,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.container.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.hierarchy.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648648800,0.028769016,0.0,0.0,0.44825172,0.0,0.0,133.26953,37756930.0,0.0,1048576.0,1648648800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,10.0,79.5,49.5,0.0,0.0,122.08203,4.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,219.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.0474176,0.0,0.0,346.5,0.01
1648648860,0.028769016,0.0,0.0,0.44825172,0.0,0.0,133.26953,37756930.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,11.0,79.5,49.5,0.0,0.0,122.08203,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,219.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.0474176,0.0,0.0,346.5,0.01
1648648920,0.022231579,0.0,0.0,0.23178864,0.0,0.0,133.26953,37756930.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,11.0,66.0,49.501953,0.0,0.0,122.08203,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.035313737,0.0,0.0,264.5,0.005
1648648980,0.022272587,0.0,0.0,0.23116636,0.0,0.0,133.26953,37756930.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,11.0,81.5,49.503906,0.0,0.0,122.01758,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,170.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.043253466,0.0,0.0,264.0,0.005
1648649040,0.028515339,0.0,0.0,0.4487958,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,11.0,79.5,49.503906,0.0,0.0,121.18555,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,215.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.04598139,0.0,0.0,344.0,0.005
1648649100,0.019627571,0.0,0.0,0.15926981,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,40000.0,11.0,58.5,49.503906,0.0,0.0,120.734375,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.033946708,0.0,0.0,227.5,0.005
1648649160,0.026747227,0.0,0.0,0.30545282,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,11.0,75.0,49.503906,0.0,0.0,120.41211,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,198.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.042743094,0.0,0.0,291.0,0.0
1648649220,0.025174618,0.0,0.0,0.30487585,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,11.0,72.5,49.503906,0.0,0.0,120.34766,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.044273995,0.0,0.0,286.0,0.01
1648649280,0.028228283,0.0,0.0,0.37674856,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,11.0,79.5,49.503906,0.0,0.0,120.34766,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.045852367,0.0,0.0,342.0,0.005
1648649340,0.022123337,0.0,0.0,0.23116541,0.0,0.0,133.21094,37756930.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,11.0,80.0,49.503906,0.0,0.0,120.34766,5.0,1025.0,0.0,0.0,604630.75,1025.0039,15.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,675840.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,65941504.0,0.04285057,0.0,0.0,269.5,0.005
