timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_network_transmit_packets.eth0,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_network_receive_packets.eth0
1648522800,0.02786541,0.0,0.0,0.10645676,219.0,0.0,0.0,351.5
1648522860,0.02786541,0.0,0.0,0.10645676,219.0,0.0,0.0,351.5
1648522920,0.028835297,0.0,0.0,0.10683775,225.0,0.0,0.0,362.0
1648522980,0.022641659,0.0,0.0,0.06783819,178.0,0.0,0.0,288.0
1648523040,0.027164936,0.0,0.0,0.08867788,215.5,0.0,0.0,342.5
1648523100,0.023462296,0.0,0.0,0.06866121,185.0,0.0,0.0,298.0
1648523160,0.026662827,0.0,0.0,0.08792114,207.0,0.0,0.0,334.5
1648523220,0.029774189,0.0,0.0,0.124902725,231.5,0.0,0.0,373.0
1648523280,0.024386883,0.0,0.0,0.06921482,191.5,0.0,0.0,309.0
1648523340,0.024553776,0.0,0.0,0.0867362,193.5,0.0,0.0,311.0
1648523400,0.02980423,0.0,0.0,0.10744047,232.0,0.0,0.0,375.5
1648523460,0.029743195,0.0,0.0,0.08952427,223.5,0.0,0.0,350.0
1648523520,0.022230625,0.0,0.0,0.050269127,174.5,0.0,0.0,272.0
1648523580,0.600327,0.0,0.0,0.14112425,316.5,0.0,0.0,461.0
1648523640,0.02938795,0.0,0.0,0.10713482,228.0,0.0,0.0,370.0
1648523700,0.022124767,0.0,0.0,0.06770563,176.0,0.0,0.0,280.0
1648523760,0.029313087,0.0,0.0,0.10715389,227.5,0.0,0.0,370.0
1648523820,0.026943207,0.0,0.0,0.08843613,212.5,0.0,0.0,339.0
1648523880,0.024579525,0.0,0.0,0.06944275,195.0,0.0,0.0,312.0
1648523940,0.025941372,0.0,0.0,0.087684155,205.0,0.0,0.0,327.5
1648524000,0.023722172,0.0,0.0,0.0686183,186.0,0.0,0.0,300.0
1648524060,0.02687645,0.0,0.0,0.10583782,213.0,0.0,0.0,341.0
1648524120,0.025257587,0.0,0.0,0.08708382,200.5,0.0,0.0,319.0
1648524180,0.031094551,0.0,0.0,0.10858059,242.5,0.0,0.0,391.0
1648524240,0.02076006,0.0,0.0,0.049340248,164.5,0.0,0.0,263.5
1648524300,0.026591301,0.0,0.0,0.088098526,208.5,0.0,0.0,332.0
1648524360,0.024870396,0.0,0.0,0.10423279,196.0,0.0,0.0,315.0
1648524420,0.025949001,0.0,0.0,0.0703125,204.0,0.0,0.0,328.0
1648524480,0.028001785,0.0,0.0,0.10644817,218.5,0.0,0.0,350.0
1648524540,0.021786213,0.0,0.0,0.06737661,172.5,0.0,0.0,278.5
1648524600,0.030807972,0.0,0.0,0.12528849,237.5,0.0,0.0,385.0
1648524660,0.026874065,0.0,0.0,0.08814669,210.0,0.0,0.0,340.0
1648524720,0.023143768,0.0,0.0,0.051094055,182.0,0.0,0.0,291.5
1648524780,0.02727747,0.0,0.0,0.10587025,214.5,0.0,0.0,343.5
1648524840,0.02864647,0.0,0.0,0.10691452,224.0,0.0,0.0,361.5
1648524900,0.023649216,0.0,0.0,0.06846142,184.0,0.0,0.0,297.5
1648524960,0.025636196,0.0,0.0,0.08756399,204.0,0.0,0.0,323.0
1648525020,0.026599407,0.0,0.0,0.08844185,211.0,0.0,0.0,334.5
1648525080,0.025489807,0.0,0.0,0.0874033,201.5,0.0,0.0,323.5
1648525140,0.023498058,0.0,0.0,0.068459034,185.0,0.0,0.0,296.5
1648525200,0.32153177,0.0,0.0,0.10845518,298.5,0.0,0.0,418.0
1648525260,0.32656765,0.0,0.0,0.14622784,334.0,0.0,0.0,481.0
1648525320,0.021104813,0.0,0.0,0.049868584,168.5,0.0,0.0,267.0
1648525380,0.028152466,0.0,0.0,0.10645437,221.0,0.0,0.0,355.0
1648525440,0.032631397,0.0,0.0,0.109359264,251.0,0.0,0.0,383.5
1648525500,0.025737286,0.0,0.0,0.08751488,205.0,0.0,0.0,324.0
1648525560,0.026679993,0.0,0.0,0.08811569,210.0,0.0,0.0,337.0
1648525620,0.024982452,0.0,0.0,0.08702183,196.5,0.0,0.0,313.5
1648525680,0.026753902,0.0,0.0,0.08811903,209.5,0.0,0.0,339.0
1648525740,0.020938396,0.0,0.0,0.04974127,166.5,0.0,0.0,264.0
1648525800,0.027935505,0.0,0.0,0.106230736,218.5,0.0,0.0,352.5
1648525860,0.022894382,0.0,0.0,0.0684185,182.5,0.0,0.0,289.5
1648525920,0.03068018,0.0,0.0,0.10798836,239.0,0.0,0.0,385.5
1648525980,0.026970863,0.0,0.0,0.105453014,209.5,0.0,0.0,340.5
1648526040,0.026696205,0.0,0.0,0.08813572,210.0,0.0,0.0,338.5
1648526100,0.02554369,0.0,0.0,0.08733797,201.0,0.0,0.0,323.0
1648526160,0.022122383,0.0,0.0,0.05041313,174.0,0.0,0.0,281.5
1648526220,0.027487278,0.0,0.0,0.10611725,217.5,0.0,0.0,347.0
1648526280,0.024310589,0.0,0.0,0.06935692,193.0,0.0,0.0,306.5
1648526340,0.030524254,0.0,0.0,0.124812126,232.0,0.0,0.0,384.0
1648497600,0.024165154,0.0,0.0,0.06891489,188.0,0.0,0.0,307.0
1648497660,0.024165154,0.0,0.0,0.06891489,188.0,0.0,0.0,307.0
1648497720,0.024548054,0.0,0.0,0.06906223,190.0,0.0,0.0,321.0
1648497780,0.025140285,0.0,0.0,0.086936474,195.5,0.0,0.0,323.5
1648497840,0.032190323,0.0,0.0,0.12590218,244.5,0.0,0.0,409.5
1648497900,0.025176048,0.0,0.0,0.08671284,193.5,0.0,0.0,322.0
1648497960,0.023979187,0.0,0.0,0.06861448,185.0,0.0,0.0,311.5
1648498020,0.02769661,0.0,0.0,0.08867359,216.0,0.0,0.0,353.5
1648498080,0.02977705,0.0,0.0,0.10667324,223.0,0.0,0.0,391.5
1648498140,0.02172947,0.0,0.0,0.06698322,168.5,0.0,0.0,281.0
1648498200,0.030827522,0.0,0.0,0.10749149,229.5,0.0,0.0,400.0
1648498260,0.024717331,0.0,0.0,0.06942129,194.0,0.0,0.0,313.5
1648498320,0.0263381,0.0,0.0,0.08712721,198.5,0.0,0.0,346.0
1648498380,0.027300835,0.0,0.0,0.08823967,210.5,0.0,0.0,350.5
1648498440,0.314775,0.0,0.0,0.106024265,267.5,0.0,0.0,419.5
1648498500,0.3157153,0.0,0.0,0.107082844,279.5,0.0,0.0,417.0
1648498560,0.024612904,0.0,0.0,0.0690012,189.0,0.0,0.0,321.0
1648498620,0.02738905,0.0,0.0,0.10553455,210.0,0.0,0.0,348.5
1648498680,0.025848389,0.0,0.0,0.0870471,199.0,0.0,0.0,333.5
1648498740,0.027945042,0.0,0.0,0.08891487,216.0,0.0,0.0,356.5
1648498800,0.024785519,0.0,0.0,0.068966866,188.5,0.0,0.0,319.0
1648498860,0.027255535,0.0,0.0,0.10555363,210.5,0.0,0.0,351.5
1648498920,0.031014442,0.0,0.0,0.1079731,236.5,0.0,0.0,380.0
1648498980,0.022559166,0.0,0.0,0.05018425,174.0,0.0,0.0,278.5
1648499040,0.027103424,0.0,0.0,0.08804369,207.0,0.0,0.0,353.0
1648499100,0.02889061,0.0,0.0,0.10649729,222.0,0.0,0.0,371.0
1648499160,0.02837038,0.0,0.0,0.0886569,215.5,0.0,0.0,365.0
1648499220,0.02498293,0.0,0.0,0.086651325,193.0,0.0,0.0,323.5
1648499280,0.025080204,0.0,0.0,0.06956959,195.5,0.0,0.0,321.5
1648499340,0.02681017,0.0,0.0,0.08785772,206.5,0.0,0.0,345.0
1648499400,0.027929306,0.0,0.0,0.10577297,214.5,0.0,0.0,359.5
1648499460,0.030189037,0.0,0.0,0.10737276,228.5,0.0,0.0,388.0
1648499520,0.020682812,0.0,0.0,0.04899025,160.5,0.0,0.0,267.0
1648499580,0.02649498,0.0,0.0,0.087350845,200.5,0.0,0.0,348.5
1648499640,0.027445793,0.0,0.0,0.08819771,210.0,0.0,0.0,351.0
1648499700,0.030272484,0.0,0.0,0.124670506,228.5,0.0,0.0,389.0
1648499760,0.023762226,0.0,0.0,0.06823683,182.5,0.0,0.0,306.5
1648499820,0.029607773,0.0,0.0,0.106957436,223.5,0.0,0.0,380.0
1648499880,0.026396275,0.0,0.0,0.08762121,204.0,0.0,0.0,338.0
1648499940,0.021783352,0.0,0.0,0.049617767,168.5,0.0,0.0,290.5
1648500000,0.02608633,0.0,0.0,0.08737612,201.0,0.0,0.0,336.0
1648500060,0.027092934,0.0,0.0,0.087924,207.0,0.0,0.0,350.5
1648500120,0.028738022,0.0,0.0,0.10631418,219.0,0.0,0.0,366.5
1648500180,0.023683548,0.0,0.0,0.06823492,180.0,0.0,0.0,305.5
1648500240,0.028591633,0.0,0.0,0.08925533,221.0,0.0,0.0,367.5
1648500300,0.027134895,0.0,0.0,0.08756113,205.0,0.0,0.0,352.0
1648500360,0.026216507,0.0,0.0,0.0874815,202.5,0.0,0.0,339.5
1648500420,0.31781578,0.0,0.0,0.12515306,283.0,0.0,0.0,445.0
1648500480,0.3136959,0.0,0.0,0.12305546,261.0,0.0,0.0,417.5
1648500540,0.026208878,0.0,0.0,0.08749676,202.5,0.0,0.0,337.0
1648500600,0.021560669,0.0,0.0,0.049581528,167.0,0.0,0.0,265.0
1648500660,0.03214121,0.0,0.0,0.10818529,241.0,0.0,0.0,402.5
1648500720,0.024367332,0.0,0.0,0.06904459,190.0,0.0,0.0,314.5
1648500780,0.026372433,0.0,0.0,0.0872674,199.5,0.0,0.0,337.0
1648500840,0.028513908,0.0,0.0,0.10624552,219.0,0.0,0.0,367.0
