timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.stopped,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgmajfault,container_memory_failures.container.pgfault,container_memory_failures.hierarchy.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648522800,0.31040144,0.0,0.0,0.79942083,0.0,0.0,33.76172,13869056.0,0.0,1048576.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.292969,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.004523352,0.0,0.0,339.5,0.0
1648522860,0.31040144,0.0,0.0,0.79942083,0.0,0.0,33.76172,13869056.0,0.0,1048576.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.292969,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.004523352,0.0,0.0,339.5,0.0
1648522920,0.030165672,0.0,0.0,1.297646,0.0,0.0,33.76172,13869056.0,0.0,1048576.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.292969,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,239.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,2.3909997e-05,0.0,0.0,382.5,0.0
1648522980,0.029620647,0.0,0.0,1.2955532,0.0,0.0,33.70117,13869056.0,0.0,1048576.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.298828,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,217.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.003494696,0.0,0.0,385.5,0.01
1648523040,0.021722794,0.0,0.0,0.78096294,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,3.7664002e-05,0.0,0.0,277.0,0.0
1648523100,0.025074482,0.0,0.0,1.0384226,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,193.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.004045821,0.0,0.0,318.5,0.0
1648523160,0.022314548,0.0,0.0,0.78205776,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,180.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,3.9191e-05,0.0,0.0,278.0,0.0
1648523220,0.03237486,0.0,0.0,1.5527434,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,239.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.00413133,0.0,0.0,422.0,0.0
1648523280,0.026028156,0.0,0.0,1.0392299,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,204.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,2.6569e-05,0.0,0.0,333.0,0.0
1648523340,0.022891521,0.0,0.0,0.7819085,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,179.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.003448406,0.0,0.0,288.5,0.0
1648523400,0.026779175,0.0,0.0,1.0397334,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,2.1909e-05,0.0,0.0,341.0,0.0
1648523460,0.02558279,0.0,0.0,1.0393605,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523500.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.004206893,0.0,0.0,323.5,0.0
1648523520,0.026788712,0.0,0.0,1.2944884,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523500.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,2.507e-05,0.0,0.0,345.0,0.0
1648523580,0.026987553,0.0,0.0,1.0402503,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,7.0,2.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,0.004365392,0.0,0.0,343.0,0.0
1648523640,0.023272991,0.0,0.0,0.7823868,0.0,0.0,33.640625,13869056.0,0.0,1048576.0,1648523600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,7.0,0.0,2863.1719,0.0,0.0,27.304688,1.0,128.0,0.0,0.0,604630.75,128.0039,1.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,135168.0,128.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,8622080.0,2.5893001e-05,0.0,0.0,294.0,0.0
