timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_tasks_state.stopped,container_tasks_state.running,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648522800,0.03707695,0.0,0.0,0.81110907,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666667,0.0,0.0,40000.0,10.0,50.666668,37.554688,0.0,0.0,45.027344,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7299072.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.03820772,0.0,0.0,301.5,0.016666668
1648522860,0.03707695,0.0,0.0,0.81110907,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666667,0.0,0.0,40000.0,10.0,50.666668,37.570312,0.0,0.0,44.85547,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7299072.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.03820772,0.0,0.0,301.5,0.016666668
1648522920,0.03822009,0.0,0.0,1.0477142,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333,0.0,0.0,40000.0,10.0,52.333332,37.583984,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7299072.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.037094653,0.0,0.0,345.0,0.008333334
1648522980,0.045999367,0.0,0.0,1.0717378,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,48.0,37.597656,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7366656.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.038152426,0.0,0.0,399.5,0.01
1648523040,0.044494152,0.0,0.0,1.3077731,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,10.0,41.5,37.609375,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,286.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.032006923,0.0,0.0,401.5,0.01
1648523100,0.04170847,0.0,0.0,1.0643487,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,10.0,49.5,37.61914,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.039385416,0.0,0.0,360.5,0.015
1648523160,0.04078245,0.0,0.0,1.0606089,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,10.0,31.0,37.625,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,254.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.027397558,0.0,0.0,357.0,0.01
1648523220,0.04407358,0.0,0.0,1.064157,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,40000.0,10.0,46.0,37.63672,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,264.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.031265505,0.0,0.0,380.5,0.005
1648523280,0.040154934,0.0,0.0,1.0630031,0.0,0.0,57.085938,13811712.0,0.0,65536.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333,0.0,0.0,40000.0,10.0,57.666668,37.65625,0.0,0.0,44.76953,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,255.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.038184572,0.0,0.0,361.0,0.008333334
1648523340,0.045357704,0.0,0.0,1.0727062,0.0,0.0,57.117188,13879296.0,0.0,65536.0,1648523400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666667,0.0,0.0,40000.0,10.0,68.833336,37.66992,0.0,0.0,44.80078,4.0,256.0,0.0,0.0,604630.75,256.97266,1.0,271.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,7434240.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,31019008.0,0.050343428,0.0,0.0,384.5,0.011666667
