timestamp,system.cpu.iowait,system.load.5,system.disk.pct_usage,system.net.tcp.out_segs,system.io.r_await,system.fs.inodes.used,system.swap.used,system.io.util,system.os.nofile.current,system.io.r_s,system.mem.used,system.swap.so,system.swap.si,system.cpu.user,system.swap.free,system.net.udp.in_errors,system.net.tcp.retrans_segs,system.mem.pct_usage,system.cpu.system,system.disk.total,system.net.packets_in.count,system.net.udp.rcv_buf_errors,system.udp.connect.num,system.io.w_s,system.mem.real.used,system.net.packets_out.count,system.fs.inodes.in_use,system.load.1,system.cpu.pct_usage,system.io.svctm,system.disk.readonly,system.fs.inodes.free,system.load.15,system.swap.total,system.io.avg_q_sz,system.mem.usable,system.fs.inodes.total,system.disk.free,system.process.zombie.num,system.io.await,system.os.nofile.max,system.net.udp.snd_buf_errors,system.mem.total,system.net.tcp.in_segs,system.io.rkb_s,system.tcp.retrans_pct,system.mem.real.pct_useage,system.swap.used_pct,system.disk.used,system.net.packets_in.error,system.net.packets_out.error,system.io.w_await,system.os.nofile.used_pct,system.net.udp.in_datagrams,system.net.udp.out_datagrams
1648648200,14.05,4.31,34.34,457.56,7.05,2962558.5,0.0,49.9,12896.0,491.5,6997.0,0.0,0.0,7.62,0.0,0.0,0.0,21.79,6.52,11884590080.0,120.32,0.0,11.0,0.0,-1.0,91.5,0.89,4.63,28.19,0.51,0.0,9522089984.0,4.15,0.0,6.68,-1.0,9525052416.0,2718356736.0,704.0,7.05,6553600.0,0.0,32117.0,249.21,124516.0,0.01,18.37,0.0,9150381056.0,0.0,0.0,0.0,0.197,884.8,66.03
1648631820,13.72,4.74,19.3,444.2,6.41,1622604.0,0.0,49.8,12736.0,444.0,6895.0,0.0,0.0,7.11,0.0,0.0,0.02,21.47,6.5,5626007893.33,92.88,0.0,11.0,0.0,-1.0,109.09,1.17,4.14,27.33,0.56,0.0,4268463104.0,4.85,0.0,5.45,-1.0,4270085461.33,1517706922.67,685.0,6.41,6553600.0,0.0,32117.0,276.49,124226.0,0.01,17.99,0.0,4087165952.0,0.0,0.0,0.0,0.194,1024.12,140.88
1648615440,19.48,5.57,19.34,420.28,10.86,1622070.67,0.0,50.1,12768.0,384.0,6914.0,0.0,0.0,5.89,0.0,0.0,0.0,21.53,6.82,5626007893.33,87.58,0.0,11.0,0.0,-1.0,103.59,1.17,4.68,32.2,0.65,0.0,4287733760.0,5.7,0.0,8.15,-1.0,4289355776.0,1522186581.33,665.0,10.86,6553600.0,0.0,32117.0,261.43,125004.0,0.01,18.01,0.0,4082685952.0,0.0,0.0,0.0,0.195,981.38,133.47
1648599060,20.07,5.56,19.28,306.82,9.85,1619184.0,0.0,50.0,12832.0,391.0,6977.0,0.0,0.0,4.23,0.0,0.0,0.02,21.72,5.38,5626007893.33,39.64,0.0,10.0,51.5,5850.0,53.82,1.17,4.52,29.67,0.56,0.0,4378569045.33,5.37,0.0,7.59,25140.0,4380188330.67,1544848554.67,651.0,8.82,6553600.0,0.0,32117.0,220.8,123994.0,0.01,18.21,0.0,4060024149.33,0.0,0.0,1.0,0.196,430.32,50.38
1648582680,20.45,4.89,19.3,322.58,10.94,1618614.33,0.0,50.05,12640.0,378.0,7032.0,0.0,0.0,4.06,0.0,0.0,0.0,21.89,5.78,5626007893.33,39.15,0.0,10.0,0.0,-1.0,53.21,1.17,4.77,30.3,0.66,0.0,4391845888.0,4.94,0.0,8.09,-1.0,4393464490.67,1547982165.33,639.0,10.94,6553600.0,0.0,32117.0,234.35,124512.0,0.01,18.25,0.0,4056890368.0,0.0,0.0,0.0,0.193,412.38,47.82
1648640040,14.41,4.09,19.27,494.28,6.24,1622785.33,0.0,49.1,12800.0,430.0,6864.0,0.0,0.0,7.33,0.0,0.0,0.07,21.37,6.71,5626007893.33,101.45,0.0,11.0,14.0,-1.0,118.14,1.17,4.0,28.45,0.56,0.0,4261998592.0,4.32,0.0,5.15,-1.0,4263621290.67,1516301312.0,692.0,6.05,6553600.0,0.0,32117.0,319.52,124784.0,0.01,17.93,0.0,4088571221.33,0.0,0.0,0.43,0.195,1118.13,159.82
1648623660,19.08,6.37,28.15,6347.93,10.79,2387335.14,0.0,49.95,12832.0,382.0,7057.0,0.0,0.0,11.84,0.0,0.0,21.08,21.97,6.87,9202340425.14,158.92,0.0,11.0,0.0,5943.0,168.11,1.01,7.94,37.78,0.65,0.0,7305921097.14,5.47,0.0,8.06,25060.0,7308308480.0,2210939757.71,659.0,10.79,6553600.0,0.0,32117.0,499.37,124030.0,0.01,18.5,0.0,6973284937.14,0.0,0.0,0.0,0.196,1702.95,128.31
1648607280,20.58,4.89,19.36,391.48,10.66,1620652.17,0.0,49.8,12736.0,406.0,6990.0,0.0,0.0,4.74,0.0,0.0,0.03,21.76,6.16,5626007893.33,73.81,0.0,11.0,13.5,-1.0,89.36,1.17,4.77,31.48,0.6,0.0,4298680661.33,4.95,0.0,8.45,-1.0,4300301312.0,1524780202.67,656.0,10.33,6553600.0,0.0,32117.0,255.69,124388.0,0.01,18.17,0.0,4080092501.33,0.0,0.0,0.47,0.194,798.41,105.69
1648590900,20.69,4.71,19.27,248.31,10.82,1618816.0,0.0,49.9,12640.0,394.0,7070.0,0.0,0.0,3.61,0.0,0.0,1.64,22.01,5.55,5626007893.33,16.07,0.0,10.0,2.5,-1.0,29.84,1.17,4.75,29.84,0.63,0.0,4385122986.67,4.73,0.0,8.34,-1.0,4386741589.33,1546496512.0,650.0,10.76,6553600.0,0.0,32117.0,193.03,123978.0,0.01,18.49,0.0,4058376192.0,0.0,0.0,0.4,0.193,147.95,7.25
1648574520,18.97,4.64,27.76,370.37,10.77,2380757.86,0.0,50.0,12800.0,357.5,7076.0,0.0,0.0,4.12,0.0,0.0,0.02,22.03,5.72,9202340425.14,79.63,0.0,13.0,0.0,-1.0,69.36,1.01,4.26,28.81,0.7,0.0,7506610468.57,5.24,0.0,7.52,-1.0,7508990829.71,2262488649.14,626.0,10.77,6553600.0,0.0,32117.0,223.07,124068.0,0.01,18.47,0.0,6921736192.0,0.0,0.0,0.0,0.195,621.32,52.45
