timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_tasks_state.stopped,container_tasks_state.running,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648807200,0.052261353,0.0,0.0,0.76054955,0.0,0.0,47.28125,11341824.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,10.0,61.5,31.947266,0.0,0.0,36.29297,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,23240704.0,0.04118705,0.0,0.0,428.0,0.01
1648807260,0.052261353,0.0,0.0,0.76054955,0.0,0.0,47.28125,11341824.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,10.0,61.5,31.96289,0.0,0.0,36.29297,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,23240704.0,0.04118705,0.0,0.0,428.0,0.01
1648807320,0.04435587,0.0,0.0,0.9530463,0.0,0.0,47.28125,11341824.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,61.5,31.978516,0.0,0.0,36.29297,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,23240704.0,0.05294132,0.0,0.0,405.0,0.015
1648807380,0.0569849,0.0,0.0,1.2023873,0.0,0.0,47.28125,11476992.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,60.0,31.992188,0.0,0.0,36.29297,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,23240704.0,0.03908313,0.0,0.0,525.0,0.01
1648807440,0.048846245,0.0,0.0,0.7517977,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,10.0,68.5,32.009766,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,269.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.058268566,0.0,0.0,412.0,0.025
1648807500,0.048541546,0.0,0.0,0.96983194,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,67.0,32.02539,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.042322103,0.0,0.0,438.0,0.01
1648807560,0.047516346,0.0,0.0,0.95872355,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,58.5,32.039062,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,261.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.05141226,0.0,0.0,424.0,0.015
1648807620,0.05101633,0.0,0.0,0.9706912,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,58.0,32.054688,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.04168172,0.0,0.0,441.0,0.01
1648807680,0.0574131,0.0,0.0,0.986928,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,40000.0,10.0,64.5,32.072266,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.059345376,0.0,0.0,494.5,0.025
1648807740,0.04495907,0.0,0.0,0.9553485,0.0,0.0,47.101562,11476992.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,55.5,32.08789,0.0,0.0,35.984375,4.0,256.0,0.0,0.0,604630.75,256.0039,0.0,261.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,811008.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144400.0,22966272.0,0.036093462,0.0,0.0,417.5,0.01
