timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648807200,0.22389555,0.0,0.0,0.97649574,0.0,0.0,138.0,35082240.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,40000.0,22.0,368.5,2697.7617,0.0,0.0,51.746094,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,3828.0,0.0,3828.0,204.0,0.0,1647144300.0,88477700.0,0.46996278,0.0,0.0,1150.0,0.08
1648807260,0.22389555,0.0,0.0,0.97649574,0.0,0.0,137.9336,34988030.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,40000.0,22.0,368.5,2697.9375,0.0,0.0,51.679688,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,3828.0,0.0,3828.0,204.0,0.0,1647144300.0,88477700.0,0.46996278,0.0,0.0,1150.0,0.08
1648807320,0.23979616,0.0,0.0,1.2241821,0.0,0.0,137.9336,34988030.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,40000.0,22.0,450.0,2698.1367,0.0,0.0,51.679688,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1182.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4768.5,0.0,4768.5,204.0,0.0,1647144300.0,88477700.0,0.5788308,0.0,0.0,1244.0,0.095
1648807380,0.21974945,0.0,0.0,0.96215916,0.0,0.0,136.54688,34863104.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,40000.0,22.0,374.0,2698.332,0.0,0.0,51.791016,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1069.5,0.0,0.0,0.0,0.0,0.0,0.5,42.0,0.0,0.0,270336.0,256.0,0.0,4273.5,0.0,4273.5,204.0,0.0,1647144300.0,87330820.0,0.48524094,0.030628553,0.0,1132.5,0.075
1648807440,0.20103264,0.0,0.0,1.0078058,0.0,0.0,135.02344,34738176.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,40000.0,22.0,351.5,2698.5312,0.0,0.0,51.65625,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,990.0,0.0,0.0,0.0,0.0,0.0,0.5,42.0,0.0,0.0,270336.0,256.0,0.0,3861.0,0.0,3861.0,204.0,0.0,1647144300.0,86040580.0,0.43912446,0.030628553,0.0,1053.0,0.075
1648807500,0.24591494,0.0,0.0,1.1433234,0.0,0.0,134.92578,34738176.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,40000.0,22.0,406.0,2698.7344,0.0,0.0,51.816406,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1199.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4207.5,0.0,4207.5,204.0,0.0,1647144300.0,85897220.0,0.51050574,0.0,0.0,1271.5,0.075
1648807560,0.24996376,0.0,0.0,1.2494135,0.0,0.0,134.74805,34940930.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,40000.0,22.0,423.0,2698.9219,0.0,0.0,51.976562,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1219.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4224.0,0.0,4224.0,204.0,0.0,1647144300.0,85399550.0,0.51407933,0.0,0.0,1302.0,0.095
1648807620,0.23822737,0.0,0.0,1.1193104,0.0,0.0,134.92188,35143680.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,40000.0,22.0,390.0,2699.125,0.0,0.0,52.214844,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4240.5,0.0,4240.5,204.0,0.0,1647144300.0,85331970.0,0.5027118,0.0,0.0,1226.0,0.085
1648807680,0.21229029,0.0,0.0,1.0408292,0.0,0.0,134.79297,35123200.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,40000.0,22.0,365.5,2699.3203,0.0,0.0,52.085938,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1041.5,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,270336.0,256.0,0.0,4554.0,0.0,4554.0,204.0,0.0,1647144300.0,85331970.0,0.4957165,0.009801633,0.0,1110.0,0.075
1648807740,0.23769999,0.0,0.0,1.0146751,0.0,0.0,135.3711,35663870.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,40000.0,22.0,390.5,2699.5352,0.0,0.0,52.664062,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1157.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4356.0,0.0,4356.0,204.0,0.0,1647144300.0,85331970.0,0.49984783,0.0,0.0,1214.5,0.08
1648807800,0.22243929,0.0,0.0,1.070158,0.0,0.0,134.89453,35229696.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,40000.0,22.0,419.0,2699.7188,0.0,0.0,52.1875,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1086.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4257.0,0.0,4257.0,204.0,0.0,1647144300.0,85331970.0,0.5295016,0.0,0.0,1165.0,0.08
1648807860,0.2655368,0.0,0.0,1.2936049,0.0,0.0,134.89453,35229696.0,0.0,1048576.0,1648808000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,40000.0,22.0,330.0,2699.918,0.0,0.0,52.1875,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1294.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,3630.0,0.0,3630.0,204.0,0.0,1647144300.0,85331970.0,0.42706022,0.0,0.0,1376.0,0.08
1648807920,0.21267176,0.0,0.0,0.9457817,0.0,0.0,134.76953,35098624.0,0.0,1048576.0,1648808000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,40000.0,22.0,386.5,2700.1133,0.0,0.0,52.0625,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.5,42.0,0.0,0.0,270336.0,256.0,0.0,4653.0,0.0,4653.0,204.0,0.0,1647144300.0,85331970.0,0.52311015,0.028216869,0.0,1088.5,0.095
1648807980,0.20775414,0.0,0.0,0.9293394,0.0,0.0,134.64453,34967550.0,0.0,1048576.0,1648808100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.0,0.0,40000.0,22.0,347.5,2700.3203,0.0,0.0,51.9375,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1016.5,0.0,0.0,0.0,0.0,0.0,0.5,42.0,0.0,0.0,270336.0,256.0,0.0,4009.5,0.0,4009.5,204.0,0.0,1647144300.0,85331970.0,0.44719115,0.028216869,0.0,1073.5,0.085
1648808040,0.25733757,0.0,0.0,1.3703408,0.0,0.0,134.64453,34967550.0,0.0,1048576.0,1648808100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,40000.0,22.0,445.5,2700.504,0.0,0.0,51.9375,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4768.5,0.0,4768.5,204.0,0.0,1647144300.0,85331970.0,0.57432675,0.0,0.0,1342.0,0.08
1648808100,0.23631954,0.0,0.0,1.0137916,0.0,0.0,134.64453,34967550.0,0.0,1048576.0,1648808200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,40000.0,22.0,360.5,2700.7266,0.0,0.0,51.9375,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1152.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,3613.5,0.0,3613.5,204.0,0.0,1647144300.0,85331970.0,0.43727848,0.0,0.0,1212.5,0.06
1648808160,0.22939205,0.0,0.0,1.0897708,0.0,0.0,134.64453,34967550.0,0.0,1048576.0,1648808200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,40000.0,22.0,410.0,2700.918,0.0,0.0,51.9375,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4240.5,0.0,4240.5,204.0,0.0,1647144300.0,85331970.0,0.5101941,0.0,0.0,1186.5,0.08
1648808220,0.23865747,0.0,0.0,1.2178802,0.0,0.0,135.06445,35287040.0,0.0,1048576.0,1648808300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,40000.0,22.0,394.0,2701.121,0.0,0.0,52.35742,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1166.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,5032.5,0.0,5032.5,204.0,0.0,1647144300.0,85331970.0,0.53605163,0.0,0.0,1238.0,0.095
1648808280,0.20875502,0.0,0.0,0.83166456,0.0,0.0,135.13281,35307520.0,0.0,1048576.0,1648808300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,40000.0,22.0,397.0,2701.3125,0.0,0.0,52.42578,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1020.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4273.5,0.0,4273.5,204.0,0.0,1647144300.0,85331970.0,0.51861376,0.0,0.0,1061.0,0.1
1648808340,0.28506327,0.0,0.0,1.4546347,0.0,0.0,135.13281,35307520.0,0.0,1048576.0,1648808300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,40000.0,22.0,384.0,2701.539,0.0,0.0,52.42578,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1393.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4191.0,0.0,4191.0,204.0,0.0,1647144300.0,85331970.0,0.5034263,0.0,0.0,1475.5,0.095
1648808400,0.18681383,0.0,0.0,0.76427794,0.0,0.0,135.13281,35307520.0,0.0,1048576.0,1648808400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.0,0.0,40000.0,22.0,360.5,2701.7305,0.0,0.0,52.42578,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,3613.5,0.0,3613.5,204.0,0.0,1647144300.0,85331970.0,0.4496483,0.0,0.0,957.5,0.075
1648808460,0.86831045,0.0,0.0,1.4705539,0.0,0.0,134.92773,35092480.0,0.0,1048576.0,1648808400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,40000.0,22.0,415.5,2701.9453,0.0,0.0,52.220703,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1511.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4900.5,0.0,4900.5,204.0,0.0,1647144300.0,85331970.0,0.5537306,0.0,0.0,1608.5,0.095
1648808520,0.24029684,0.0,0.0,1.1248193,0.0,0.0,134.72266,34877440.0,0.0,1048576.0,1648808600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,40000.0,22.0,402.0,2702.1367,0.0,0.0,52.015625,4.0,256.0,0.0,0.0,604630.75,256.0039,16.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,270336.0,256.0,0.0,4702.5,0.0,4702.5,204.0,0.0,1647144300.0,85331970.0,0.53328055,0.0,0.0,1238.0,0.075
