timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648807200,0.2155261,0.0,0.0,1.2807074,0.0,0.0,142.17578,33587200.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,40000.0,22.0,465.0,1553.0957,0.0,0.0,52.30078,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,4504.5,0.0,4504.5,204.0,0.0,1647235700.0,96083970.0,0.56441677,0.0,0.0,1126.5,0.09
1648807260,0.2155261,0.0,0.0,1.2807074,0.0,0.0,142.17578,33587200.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,40000.0,22.0,465.0,1553.2871,0.0,0.0,52.30078,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,4504.5,0.0,4504.5,204.0,0.0,1647235700.0,96083970.0,0.56441677,0.0,0.0,1126.5,0.09
1648807320,0.19553232,0.0,0.0,1.2149124,0.0,0.0,142.17578,33587200.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,40000.0,22.0,311.0,1553.4805,0.0,0.0,52.30078,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,3085.5,0.0,3085.5,204.0,0.0,1647235700.0,96083970.0,0.38673493,0.0,0.0,1031.0,0.07
1648807380,0.26552105,0.0,0.0,1.433116,0.0,0.0,141.6289,33980416.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,40000.0,22.0,428.0,1553.6777,0.0,0.0,52.6875,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1305.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,8921088.0,256.0,0.0,5214.0,0.0,5214.0,204.0,0.0,1647235700.0,95156220.0,0.58465683,0.008812802,0.0,1377.5,0.095
1648807440,0.80855036,0.0,0.0,1.3527737,0.0,0.0,139.78516,33980416.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,40000.0,22.0,397.0,1553.877,0.0,0.0,52.939453,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,3894.0,0.0,3894.0,204.0,0.0,1647235700.0,93208580.0,0.48521772,0.0,0.0,1342.0,0.085
1648807500,0.22686195,0.0,0.0,1.3116574,0.0,0.0,139.6875,33980416.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,40000.0,22.0,381.0,1554.0762,0.0,0.0,53.035156,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,4059.0,0.0,4059.0,204.0,0.0,1647235700.0,93065220.0,0.50473017,0.0,0.0,1184.0,0.08
1648807560,0.2511034,0.0,0.0,1.3900104,0.0,0.0,139.38281,33980416.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.0,0.0,40000.0,22.0,348.5,1554.2715,0.0,0.0,53.20508,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1230.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,3547.5,0.0,3547.5,204.0,0.0,1647235700.0,92635140.0,0.4448561,0.0,0.0,1311.5,0.07
1648807620,0.22830582,0.0,0.0,1.3178973,0.0,0.0,139.41016,34015230.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,40000.0,22.0,410.5,1554.4707,0.0,0.0,53.296875,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1116.5,0.0,0.0,0.0,0.0,0.0,0.5,41.0,0.0,0.0,8921088.0,256.0,0.0,4636.5,0.0,4636.5,204.0,0.0,1647235700.0,92635140.0,0.55332917,0.017900346,0.0,1190.5,0.08
1648807680,0.21343946,0.0,0.0,1.270195,0.0,0.0,139.41016,34050050.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,40000.0,22.0,388.0,1554.6738,0.0,0.0,53.296875,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1044.5,0.0,0.0,0.0,0.0,0.0,0.5,41.0,0.0,0.0,8921088.0,256.0,0.0,4273.5,0.0,4273.5,204.0,0.0,1647235700.0,92635140.0,0.5029186,0.017900346,0.0,1120.5,0.08
1648807740,0.24566412,0.0,0.0,1.3712687,0.0,0.0,139.41016,34050050.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,40000.0,22.0,393.5,1554.8711,0.0,0.0,53.296875,4.0,256.0,0.0,0.0,604630.75,256.0039,18.0,1203.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,8921088.0,256.0,0.0,4026.0,0.0,4026.0,204.0,0.0,1647235700.0,92635140.0,0.49259552,0.0,0.0,1272.5,0.085
